"","UniqueID","submission_year","target","TrainVal","Long_1","Long_2","Long_3","Long_4","Long_5","Long_6","Long_7","Long_8","Long_9","Long_10","Short_1","Short_2","Short_3","Short_4","Short_5","Short_6","Short_7","Short_8","Short_9","Short_10"
"17","814ZSD",2015,0,"Val_40",1100,5,0,197,88,9,11,30353,4,6165,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"18","778XIF",2015,0,"Val_40",200,1,0,302,149,13,15,26641,3,-140,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"19","788SWQ",2015,0,"Val_40",1700,1,0,126,0,10,7,28503,6,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"20","522LQC",2015,1,"Val_40",400,26,10524,93,24,41,5,237,10,-10000,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"21","598HWN",2015,0,"Train_60",2300,1,0,510,0,1.5,14,6232,1,-1513,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"22","419GXT",2015,0,"Val_40",6300,8,0,180,26,23,12,20484,6,6626,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"23","806HGC",2015,0,"Val_40",3900,6,0,140,20,11,58,7657,4,2092,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"24","591QLZ",2015,1,"Val_40",1700,1,0,147,0,7,7,1806,3,2956,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"25","327SNA",2015,0,"Train_60",1100,0,0,1,0,11,5,18875,4,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"26","716JAP",2015,0,"Val_40",2400,3,0,158,93,8,4,496,3,5506,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"27","819VPH",2015,0,"Train_60",4300,3,0,104,108,6,40,25143,3,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"28","432DDK",2015,0,"Train_60",1900,1,0,128,0,8,6,0,4,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"29","378BDH",2015,0,"Train_60",2900,0,0,206,24,12,4,4469,5,-302,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"30","476QLK",2015,0,"Train_60",2100,1,0,306,27,2.5,29,3492,2,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"31","379LTM",2015,1,"Val_40",300,1,0,120,0,5,19,1442,3,-269,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"32","313QCA",2015,0,"Train_60",2300,2,0,266,49,8,7,20931,5,316,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"33","045RYJ",2015,1,"Train_60",2100,12,0,129,13,11,9,10074,4,414,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"34","536NIP",2015,1,"Train_60",4900,9,0,237,33,8,14,397,4,157,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"35","963MMC",2015,0,"Train_60",2600,4,488,187,0,6,7,10879,2,433,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"36","846OSY",2015,0,"Train_60",5400,5,0,370,43,7.5,55,11748,3,6869,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"37","146QQB",2015,0,"Val_40",2300,7,0,92,1,14,24,18410,7,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"38","907UKB",2015,1,"Train_60",1600,3,0,105,3,5,9,2060,2,-125,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"39","761SDZ",2015,0,"Val_40",1400,3,0,179,136,5,6,11201,2,-3820,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"40","703LLE",2015,0,"Train_60",1800,4,0,173,0,6,16,45956,2,-10000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"41","528DBU",2015,0,"Train_60",100,2,0,260,121,22,13,11437,9,-345,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"42","410EWA",2015,0,"Train_60",1100,6,0,183,7,9,9,17324,5,781,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"43","433FYL",2015,0,"Val_40",5700,1,7636,731,1,4.5,53,1709,3,2745,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"44","356PPH",2015,0,"Train_60",300,1,0,183,41,7,4,3033,3,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"45","266BYI",2015,0,"Val_40",6100,1,0,250,180,1,20,27687,1,3769,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"46","969FWC",2015,0,"Train_60",1100,0,0,178,38,7,9,16704,4,-4425,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"47","121ZUC",2015,0,"Val_40",1800,1,0,219,0,5,7,5854,3,-2355,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"48","767OHA",2015,0,"Val_40",5000,2,0,406,13,3,34,15646,2,-1150,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"49","387MTV",2015,0,"Train_60",5900,0,0,73,6,10,55,12962,4,3758,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"50","088LRZ",2015,0,"Train_60",300,1,0,399,225,5.5,7,5861,3,705,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"51","298RMV",2015,1,"Train_60",2300,1,0,192,0,3,8,0,2,4876,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"52","673ZSR",2015,0,"Train_60",1200,4,0,158,13,14,12,6615,5,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"53","815MYX",2015,0,"Train_60",2400,1,0,194,24,1,13,12788,1,-10000,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"54","128MOD",2015,0,"Val_40",4700,2,0,291,86,10,17,68560,3,58,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"55","535HBO",2015,0,"Train_60",1100,2,0,153,0,13,18,9008,4,1447,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"56","804ISK",2015,0,"Train_60",1100,0,0,451,33,8,16,18374,2,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"57","163PEH",2015,0,"Val_40",4500,0,0,269,0,4,55,3483,2,2745,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"58","070GTB",2015,0,"Val_40",400,5,8270,628,238,3.5,7,33773,3,987,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"59","424VBH",2015,0,"Train_60",200,2,0,419,251,2,4,24285,1,589,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"60","094YYN",2015,1,"Val_40",1400,4,0,58,83,29,21,71564,9,-99,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"61","135RTQ",2015,0,"Train_60",4100,3,0,176,65,8,83,2127,4,-124,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"62","432LDZ",2015,0,"Val_40",4500,2,9582,406,6,6,44,30276,4,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"63","904ZIN",2015,0,"Train_60",1300,3,0,108,22,4,14,861,1,-2316,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"64","412RPA",2015,0,"Val_40",300,2,0,305,39,12,0,106284,6,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"65","653ZNP",2015,0,"Val_40",7100,6,8053,304,480,12,6,63793,5,508,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"66","510ZIZ",2015,0,"Val_40",500,1,0,214,3,9,18,8509,5,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"67","987CPR",2015,0,"Val_40",500,1,0,120,19,2,10,7657,2,-498,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"68","649NJA",2015,0,"Train_60",4800,5,5833,395,26,9.5,47,458,5,191,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"69","484PFA",2015,0,"Train_60",800,1,0,208,0,2,20,2718,2,-10000,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"70","389QMO",2015,0,"Train_60",5800,1,0,199,121,2,8,0,2,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"71","228SCB",2015,1,"Train_60",4300,2,5244,321,15,2,86,14433,1,-10000,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"72","017JKI",2015,0,"Train_60",6000,1,8032,512,8,2,62,46243,1,-99,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"73","299QVL",2015,0,"Val_40",300,4,0,178,169,8,1,66032,3,431,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"74","927DUB",2015,0,"Train_60",2300,1,0,150,0,5,15,2722,2,-707,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"75","718VFB",2015,1,"Train_60",2200,0,0,61,0,3,20,0,2,3458,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"76","798SZC",2015,0,"Train_60",4200,1,0,173,26,2,66,0,1,193,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"77","706VXC",2015,1,"Val_40",3300,1,0,128,4,4,63,2604,1,2746,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"78","334TBW",2015,1,"Val_40",3700,4,0,445,15,15,33,100787,7,140,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"79","660FAC",2015,1,"Train_60",600,5,0,369,86,9,11,20651,4,-130,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"80","339ENI",2015,0,"Train_60",2900,0,0,148,28,3,31,6328,2,-2966,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"81","046PIF",2015,0,"Val_40",2300,0,0,226,0,4,12,115897,2,-143,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"82","712GWM",2015,0,"Val_40",500,0,0,148,98,4,34,4000,3,3442,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"83","400LWJ",2015,0,"Train_60",5400,1,0,302,48,6,44,589,3,83,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"84","407MTR",2015,1,"Val_40",2300,1,0,97,0,26,2,21090,10,-140,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"85","811GEH",2015,0,"Train_60",1300,1,0,302,36,2,30,3428,2,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"86","047FNC",2015,0,"Train_60",300,7,0,431,230,36,1,153067,7,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"87","369WPE",2015,0,"Val_40",500,3,0,410,38,5,26,13729,4,-6154,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"88","771NBT",2015,0,"Train_60",1000,3,0,63,147,7,4,11612,4,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"89","599KNQ",2015,0,"Train_60",700,0,0,486,30,2,16,7487,2,8945,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"90","206WQN",2015,0,"Train_60",2700,0,10096,497,2,7,34,40709,2,312,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"91","856TXL",2015,0,"Train_60",1200,5,0,242,87,0,14,2710,1,-7025,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"92","154JEU",2015,0,"Train_60",700,4,0,174,18,5,7,4481,5,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"93","629PUO",2015,0,"Train_60",400,2,0,150,0,3,5,3339,3,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"94","145TJK",2015,0,"Val_40",4700,3,0,206,116,1,71,71286,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"95","766NAW",2015,0,"Train_60",3900,5,0,171,40,0,18,8831,2,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"96","995JMN",2015,1,"Train_60",600,1,0,224,0,3,5,10342,2,-504,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"97","047HAG",2015,0,"Train_60",1600,0,0,391,0,3,9,28570,4,441,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"98","624SEY",2015,0,"Val_40",2500,1,0,252,71,1,5,4218,1,103,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"99","474FSJ",2015,0,"Train_60",1800,1,0,228,0,3,11,45,3,3267,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"100","188NKP",2015,0,"Train_60",2200,3,0,238,108,0,17,4392,4,3120,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"101","620IML",2015,0,"Train_60",700,1,0,189,1,1,6,31202,2,581,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"102","535BHQ",2015,0,"Train_60",2600,1,0,179,84,3,8,531,3,-1756,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"103","834VHZ",2015,0,"Train_60",3100,5,6429,384,45,5.5,4,1662,5,-9550,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"104","924LCB",2015,0,"Val_40",200,2,0,489,86,4,11,110195,3,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"105","471FFH",2015,0,"Val_40",100,1,0,210,87,4,11,25001,3,-7865,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"106","092XDD",2015,0,"Train_60",1700,1,0,244,0,2,4,2465,3,5349,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"107","466ZHV",2015,0,"Train_60",1600,4,0,244,28,7,39,15977,3,1264,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"108","260IHP",2015,1,"Train_60",2700,2,0,388,5,7,49,207890,3,20000,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"109","675URP",2015,0,"Train_60",500,1,0,232,79,3,89,43171,2,-1698,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"110","647MFP",2015,0,"Val_40",200,2,0,272,100,3,11,53347,3,-57,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"111","899AVP",2015,1,"Val_40",5900,5,0,335,165,7.5,35,14252,6,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"112","071SNA",2015,0,"Val_40",700,1,0,207,41,9,3,8980,3,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"113","789ONP",2015,1,"Val_40",100,2,0,570,0,2,9,31059,3,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"114","234IER",2015,0,"Val_40",1900,0,0,182,0,2,41,1012,4,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"115","211ZES",2015,0,"Train_60",2900,1,0,196,41,0,60,11553,1,-166,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"116","308JRW",2015,0,"Val_40",3600,0,9674,123,5,3,59,18058,3,-10000,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"117","837XWO",2015,0,"Train_60",2300,3,10000,16,1,7,3,972,3,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"118","098BBS",2015,0,"Val_40",2300,1,0,149,0,0,23,774,2,-446,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"119","752IZZ",2015,0,"Val_40",1600,2,0,238,23,1,20,0,3,634,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"120","141BPA",2015,0,"Val_40",2900,7,3848,355,195,19,7,14313,6,10489,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"121","837HDP",2015,0,"Train_60",4100,1,0,183,8,0,12,12213,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"122","450RWY",2015,1,"Train_60",900,3,0,105,31,1,8,2942,3,-98,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"123","792RZC",2015,0,"Train_60",4400,0,0,344,140,4,3,81961,3,-13,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"124","450SNU",2015,0,"Train_60",3400,0,0,283,138,1,7,73290,2,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"125","020UHN",2015,0,"Train_60",800,3,0,407,7,1,19,652,2,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"126","704EAM",2015,0,"Val_40",400,0,0,166,53,0,34,9971,1,-3944,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"127","186CNT",2015,0,"Train_60",5400,3,0,76,19,6,53,3215,5,-10000,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"128","651OVZ",2015,0,"Train_60",2100,2,0,102,13,2,34,1429,2,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"129","355KNR",2015,1,"Train_60",1000,7,0,264,67,1,28,188887,2,-192,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"130","382HJP",2015,0,"Train_60",1400,1,0,848,0,3,24,1426,4,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"131","050JVB",2015,0,"Train_60",1100,3,0,454,34,0,23,17613,1,-245,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"132","709EUL",2015,0,"Train_60",800,2,0,379,0,0,2,120389,2,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"133","895SDC",2015,0,"Train_60",300,1,0,521,22,2.5,9,22012,4,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"134","872ZLJ",2015,0,"Val_40",2300,1,0,322,0,7,7,16034,3,6372,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"135","294AVO",2015,0,"Train_60",2000,2,0,172,47,0,31,2815,1,-2611,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"136","252QMF",2015,0,"Train_60",4000,2,0,302,0,5,9,55124,7,316,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"137","526RLC",2015,0,"Val_40",600,2,0,160,12,2,9,5062,3,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"138","374OOE",2015,0,"Val_40",3600,3,0,171,11,3,54,29009,3,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"139","392ZVJ",2015,0,"Val_40",2300,1,0,175,0,10,15,7472,6,-1494,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"140","991AKF",2015,0,"Val_40",1900,1,0,175,0,4,7,15413,3,5016,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"141","736AED",2015,0,"Train_60",2600,8,0,578,101,22.5,3,175817,11,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"142","696ZDY",2015,0,"Train_60",5100,1,0,223,13,3,18,62509,2,107,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"143","614SLT",2015,0,"Train_60",2000,12,0,227,9,14,23,2068,7,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"144","082WSB",2015,0,"Val_40",2500,6,0,539,30,3,12,152753,4,418,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"145","570MZQ",2015,0,"Train_60",1600,3,0,104,0,1,11,17579,2,-60,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"146","033HCQ",2015,0,"Val_40",1200,1,0,343,1,1,52,2123,2,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"147","384GWX",2015,1,"Val_40",2300,0,0,231,0,7,40,11553,3,-10000,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"148","488UPD",2015,0,"Val_40",1300,7,0,145,0,28,15,946,9,-1834,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"149","326RUT",2015,0,"Train_60",1200,5,0,372,25,4.5,14,36105,4,3266,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
